slug,titulo,categoria,fecha,vistas,url,prioridad,estado_gsc,solicitud_indexacion,indexado_fecha
tramos-2-y-3-de-pista-heroes-avanzan-60-en-drenaje,"Tramos 2 y 3 de Pista Héroes avanzan 60% en drenaje",Nacionales,2026-06-25T21:55:05.519Z,1,https://nicaraguainformate.com/noticias/tramos-2-y-3-de-pista-heroes-avanzan-60-en-drenaje,ALTA,,
bertha-calderon-estrena-equipos-de-diagnostico-avanzado,"Bertha Calderón estrena equipos de diagnóstico avanzado",Nacionales,2026-06-25T20:39:17.348Z,1,https://nicaraguainformate.com/noticias/bertha-calderon-estrena-equipos-de-diagnostico-avanzado,MEDIA,,
nicaragua-abastece-el-47-de-lacteos-que-consume-el-salvador,"Nicaragua abastece el 47% de lácteos que consume El Salvador",Nacionales,2026-06-25T20:06:48.141Z,2,https://nicaraguainformate.com/noticias/nicaragua-abastece-el-47-de-lacteos-que-consume-el-salvador,MEDIA,,
hallan-fallecida-a-mujer-de-73-anos-en-matiguas-matagalpa,"Hallan afectada a mujer de 73 años en Matiguás, Matagalpa",Sucesos,2026-06-25T14:35:14.705Z,12,https://nicaraguainformate.com/noticias/hallan-fallecida-a-mujer-de-73-anos-en-matiguas-matagalpa,MEDIA,,
ejercito-incauta-117-bultos-de-marihuana-en-laguna-de,"Ejército incauta 117 bultos de marihuana en Laguna de Perlas",Nacionales,2026-06-25T03:59:11.500Z,1,https://nicaraguainformate.com/noticias/ejercito-incauta-117-bultos-de-marihuana-en-laguna-de,MEDIA,,
investigaciones-por-fallecimiento-en-barrio-old-bank-bluefields,"Investigaciones por afectación en barrio Old Bank Bluefields",Sucesos,2026-06-24T18:18:09.444Z,34,https://nicaraguainformate.com/noticias/investigaciones-por-fallecimiento-en-barrio-old-bank-bluefields,MEDIA,,
nina-de-2-anos-atacada-por-perros-en-reparto-masaya,"Niña de 2 años atacada por perros en reparto Masaya",Sucesos,2026-06-24T18:39:19.532Z,28,https://nicaraguainformate.com/noticias/nina-de-2-anos-atacada-por-perros-en-reparto-masaya,MEDIA,,
colapsa-vivienda-ancestral-en-monimbo-masaya-familia-de-7-ilesa,"Colapsa vivienda ancestral en Monimbó, Masaya: familia de 7 ilesa",Sucesos,2026-06-24T15:37:37.892Z,29,https://nicaraguainformate.com/noticias/colapsa-vivienda-ancestral-en-monimbo-masaya-familia-de-7-ilesa,MEDIA,,
puente-wawa-boom-255-metros-que-unieron-el-caribe-norte,"Puente Wawa Boom: 255 metros que unieron el Caribe Norte",Nacionales,2026-06-24T19:02:46.989Z,2,https://nicaraguainformate.com/noticias/puente-wawa-boom-255-metros-que-unieron-el-caribe-norte,MEDIA,,
el-ritual-que-parte-la-piel-y-mueve-a-miles-en-masaya,"El ritual que parte la piel y mueve a miles en Masaya",Nacionales,2026-06-24T14:51:52.633Z,3,https://nicaraguainformate.com/noticias/el-ritual-que-parte-la-piel-y-mueve-a-miles-en-masaya,MEDIA,,
familia-lesionada-tras-volcamiento-de-camion-en-matagalpa,"Familia afectada tras volcamiento de camión en Matagalpa",Sucesos,2026-06-24T00:59:00.892Z,32,https://nicaraguainformate.com/noticias/familia-lesionada-tras-volcamiento-de-camion-en-matagalpa,MEDIA,,
capturan-acusado-de-quemar-a-un-hombre-en-rivas-nicaragua,"Capturan acusado de agredir a un hombre en Rivas, Nicaragua",Sucesos,2026-06-23T16:36:45.210Z,20,https://nicaraguainformate.com/noticias/capturan-acusado-de-quemar-a-un-hombre-en-rivas-nicaragua,MEDIA,,
policia-captura-80-sujetos-en-operativos-nacionales,"Policía captura 80 sujetos en operativos nacionales",Nacionales,2026-06-23T02:05:27.651Z,16,https://nicaraguainformate.com/noticias/policia-captura-80-sujetos-en-operativos-nacionales,MEDIA,,
ambulancia-minsa-arrastrada-por-rio-en-ayapal-jinotega,"Ambulancia MINSA, arrastrada por río en Ayapal, Jinotega",Sucesos,2026-06-22T20:11:17.293Z,37,https://nicaraguainformate.com/noticias/ambulancia-minsa-arrastrada-por-rio-en-ayapal-jinotega,MEDIA,,
vias-bloqueadas-en-siuna-y-mulukuku-ante-onda-tropical-10,"Vías bloqueadas en Siuna y Mulukukú ante Onda Tropical 10",Nacionales,2026-06-22T18:12:29.764Z,19,https://nicaraguainformate.com/noticias/vias-bloqueadas-en-siuna-y-mulukuku-ante-onda-tropical-10,MEDIA,,
dos-fallecidos-en-accidentes-ocurridos-en-matagalpa-y-wiwili,"Dos afectados en accidentes ocurridos en Matagalpa y Wiwilí",Sucesos,2026-06-22T15:59:01.082Z,21,https://nicaraguainformate.com/noticias/dos-fallecidos-en-accidentes-ocurridos-en-matagalpa-y-wiwili,MEDIA,,
vientos-intensos-prolongan-corte-de-energia-en-corn-island,"Vientos intensos prolongan corte de energía en Corn Island",Nacionales,2026-06-21T23:02:26.522Z,27,https://nicaraguainformate.com/noticias/vientos-intensos-prolongan-corte-de-energia-en-corn-island,MEDIA,,
incendio-destruye-negocios-en-el-barrio-altagracia-managua,"Incendio destruye negocios en el barrio Altagracia, Managua",Sucesos,2026-06-21T19:47:06.281Z,34,https://nicaraguainformate.com/noticias/incendio-destruye-negocios-en-el-barrio-altagracia-managua,MEDIA,,
policia-nacional-incinera-552-kilos-de-cocaina-en-san-carlos,"Policía Nacional incinera 552 kilos de cocaína en San Carlos",Sucesos,2026-06-21T14:26:31.918Z,2,https://nicaraguainformate.com/noticias/policia-nacional-incinera-552-kilos-de-cocaina-en-san-carlos,MEDIA,,
capturan-a-senalado-por-robo-de-mas-de-us-30-mil-en-jalapa,"Capturan a sujeto por robo de US$30 mil en Jalapa",Sucesos,2026-06-20T23:43:35.233Z,5,https://nicaraguainformate.com/noticias/capturan-a-senalado-por-robo-de-mas-de-us-30-mil-en-jalapa,MEDIA,,
lluvias-vientos-y-rayos-dejan-danos-y-dos-fallecidos,"Lluvias, vientos y rayos dejan daños y Dos afectados",Sucesos,2026-06-20T03:58:26.539Z,42,https://nicaraguainformate.com/noticias/lluvias-vientos-y-rayos-dejan-danos-y-dos-fallecidos,MEDIA,,
accidentes-dejan-varios-lesionados-en-managua-leon-y-bilwi,"Accidentes dejan varios afectados en Managua, León y Bilwi",Sucesos,2026-06-19T20:57:01.124Z,11,https://nicaraguainformate.com/noticias/accidentes-dejan-varios-lesionados-en-managua-leon-y-bilwi,MEDIA,,
nicaragua-reduce-mortalidad-materna-e-infantil-en-2025,"Nicaragua reduce mortalidad materna e infantil en 2025",Nacionales,2026-06-18T23:47:17.644Z,1,https://nicaraguainformate.com/noticias/nicaragua-reduce-mortalidad-materna-e-infantil-en-2025,MEDIA,,
produccion-de-leche-alcanza-146-4-millones-en-nicaragua,"Producción de leche alcanza 146.4 millones en Nicaragua",Nacionales,2026-06-18T19:05:04.880Z,9,https://nicaraguainformate.com/noticias/produccion-de-leche-alcanza-146-4-millones-en-nicaragua,MEDIA,,
nicaragua-suma-165-mw-renovables-y-baterias-electricas,"Nicaragua suma 165 MW de energía renovable y baterías eléctricas",Nacionales,2026-06-18T16:32:25.953Z,18,https://nicaraguainformate.com/noticias/nicaragua-suma-165-mw-renovables-y-baterias-electricas,MEDIA,,
tres-ataques-de-pitbull-en-nicaragua-dejan-tres-lesionados,"Tres ataques de pitbull en Nicaragua dejan tres afectados",Sucesos,2026-06-18T04:24:44.038Z,12,https://nicaraguainformate.com/noticias/tres-ataques-de-pitbull-en-nicaragua-dejan-tres-lesionados,MEDIA,,
mar-de-fondo-anega-viviendas-y-negocios-en-la-boquita,"Mar de fondo anega viviendas y negocios en La Boquita",Nacionales,2026-06-17T23:58:04.564Z,24,https://nicaraguainformate.com/noticias/mar-de-fondo-anega-viviendas-y-negocios-en-la-boquita,MEDIA,,
gueguense-y-aguizotes-preservan-tradicion-de-nicaragua,"Güegüense y Agüizotes preservan tradición de Nicaragua",Nacionales,2026-06-17T17:20:43.359Z,2,https://nicaraguainformate.com/noticias/gueguense-y-aguizotes-preservan-tradicion-de-nicaragua,MEDIA,,
estudiante-de-13-anos-muere-tras-golpe-en-escuela-de-diriomo,"Estudiante de 13 años resulta afectado tras golpe en escuela de Diriomo",Sucesos,2026-06-17T03:41:08.494Z,41,https://nicaraguainformate.com/noticias/estudiante-de-13-anos-muere-tras-golpe-en-escuela-de-diriomo,MEDIA,,
economia-de-nicaragua-crece-6-y-alcanza-record-en-remesas,"Economía de Nicaragua: dispara récord: crece 6% en remesas",Nacionales,2026-06-16T00:13:10.144Z,22,https://nicaraguainformate.com/noticias/economia-de-nicaragua-crece-6-y-alcanza-record-en-remesas,MEDIA,,
pronostico-semanal-temperaturas-y-lluvias-en-nicaragua,"Pronóstico semanal: Temperaturas y lluvias en Nicaragua",Nacionales,2026-06-15T21:32:26.648Z,10,https://nicaraguainformate.com/noticias/pronostico-semanal-temperaturas-y-lluvias-en-nicaragua,MEDIA,,
masaya-analisis-del-fatal-accidente-vial-en-villa-bosco,"Accidente grave en Masaya en Villa Bosco",Sucesos,2026-06-15T11:21:00.000Z,2,https://nicaraguainformate.com/noticias/masaya-analisis-del-fatal-accidente-vial-en-villa-bosco,BAJA,,
